Rank,CellID,ParamAspectRatio,R2,SigmaEnvEff,CarrierScale_HalfLambda,SigmaC,SigmaS,Ac,As,Freq_cyclesPerPixel,OffsetMag,DSI,OSI,F1F0,DataOriDeg,FftDeg,EnvDeg,OffsetDeg
75,95,3.07213798897816,0.871440738407994,3.87891732702433,11.9165692764571,3.87891732702433,3.94716748532731,7.04742459646821,4.79805911963701,0.0419583848673479,2.37281332785529,0.311822125813449,1,0.458255878435033,90,96.1236508571733,96.1236508571733,75.8287784008814
76,1589,3.07372496861587,0.843931624053909,2.01144636661443,6.18263292009444,2.01144636661443,4.51588658265056,-4.2809313457804,1.27610708118254,0.0808716943836224,2.97143981441585,0.132071457419802,0.969902712861336,0.352424246855138,0,97.5637031886291,97.5637031886291,34.8435219608469
77,1792,3.08681175645113,0.819788672301766,3.70731712961248,11.4437901005805,3.70731712961248,3.70731712961252,5.92188972109816,5.47180007217528,0.0436918184976705,2.28214958274402,0.00496287767499105,0.420483644689464,1.1109854811788,120,124.484691149755,124.484691149755,23.0551655969858
78,793,3.08755857839353,0.566226586426613,3.07325933602453,9.48886822657055,3.07325933602453,6.17337722106303,3.35193038759307,1.32894725025033,0.0526933231720839,0.853053605161425,0.639960245859099,0.949417232772556,0.227992005160236,0,126.150334144972,126.150334144972,NaN
79,362,3.13147855441452,0.408958551060612,3.2476239626726,10.1698647919119,3.2476239626726,6.05695591027526,3.09974548497695,1.05731645082803,0.0491648620931173,0.433389452308168,0.235466793546788,0.187354279928681,0.1508727454474,60,136.732756887611,136.732756887611,NaN
80,919,3.14142615007063,0.818534725584609,2.41161136868719,7.57589901740157,2.41161136868719,3.00750931052654,4.43315509264819,5.69626732769288,0.0659987677834034,0.880961516127225,0.771188589176,0.885338676458744,1.30058917011358,0,12.8190636046937,12.8190636046937,NaN
81,778,3.1464773607663,0.861715898996817,2.9734172907734,9.35579018952957,2.9734172907734,3.27414271015642,6.95951908659071,5.84403282746303,0.053442840195323,2.51554400214993,0.552358442092282,1,0.205946899978626,150,94.0562864212453,94.0562864212453,118.457258679462
82,244,3.15990964339256,0.613886726244915,3.81485699109791,12.0546033943338,3.81485699109791,6.07377583932668,4.42571690428466,2.18434851906037,0.0414779303510742,0.560108312732423,0.216474555818484,0.815141869143416,0.259443591261932,90,90.214111559551,90.214111559551,NaN
83,664,3.17169458781054,0.846014018774488,2.53978121176572,8.05541032358024,2.53978121176572,2.85001297624505,5.17269468471855,7.03385142642828,0.0620700845661918,1.19718588431191,0.594781273983116,1,1.00889372441145,90,94.6638514864192,94.6638514864192,75.4816253292072
84,1619,3.17510975956497,0.833728776439555,1.75396905195666,5.56904425484251,1.75396905195666,2.0902214987733,7.80281033010208,10.8326243357911,0.0897820123381548,0.358359602246731,0.680786344098039,0.826678901865554,1.4404843554945,90,84.7955337084169,84.7955337084169,NaN
85,1597,3.19805320615467,0.871384060137911,2.71604153909465,8.6860453521509,2.71604153909465,2.86629309443528,10.4466570798793,7.01823105993967,0.0575635953680792,1.53272248359592,0.346188593178419,1,1.18088140691576,90,76.8446718595558,76.8446718595558,105.664918521849
86,748,3.20763992916227,0.646152130002918,4.62758161111972,14.8436155512847,4.62758161111972,5.13576168322357,4.91353653527644,3.96770358914512,0.0336845156271058,1.96121367420126,NaN,NaN,0.237776947997587,0,98.1098477762975,98.1098477762975,129.76980427088
87,331,3.21365516445524,0.882181564226964,2.62005835670305,8.41996406919286,2.62005835670305,3.10697828655426,4.02667361173139,6.61444719867215,0.0593826762075399,0.837644883769288,0.256001013363734,0.277466936362222,0.207757733666849,90,145.00897298823,145.00897298823,NaN
88,890,3.2219157522176,0.788507634980974,2.98340256079222,9.61227170582279,2.98340256079222,2.98340256130567,8.45774136178875,6.00800178847054,0.0520168400667573,1.2164054112989,0.177510951806697,0.241034150797157,0.967717951441197,60,49.586711683254,49.586711683254,111.189362617733
89,1644,3.22564916499445,0.715446381797271,3.02377252971704,9.75362933561494,3.02377252971704,4.02779805056694,5.41723188149372,3.58192984933191,0.0512629691774602,1.2424859111564,0.181540115438269,1,0.457592975015812,120,93.1816501082588,93.1816501082588,83.7809623787507
90,358,3.23919147084462,0.888478109709177,2.28964196628275,7.41658872847099,2.28964196628275,2.62428922627081,7.15625197741438,11.0634936762233,0.0674164387841256,0.475724476917523,0.163194358788491,0.246991217259488,0.725239929026661,60,71.2527124698688,71.2527124698688,NaN
91,1015,3.24681379424475,0.909891529264211,3.42645706211509,11.1250680546626,3.42645706211509,4.00180453125303,6.08734396363039,7.26951382971335,0.0449435452927809,1.11044957276317,0.880471358080519,0.382913973771726,0.823510466590073,30,84.8267622003522,84.8267622003522,70.2413003014319
92,479,3.27935999017738,0.807542104175557,3.30507024544708,10.8385151276449,3.30507024544708,3.76577168408457,5.79486230085635,6.97277576488078,0.0461317804248566,1.35885635741995,0.984929531606121,0.306833048203683,0.428605731005912,120,98.2878861420879,98.2878861420879,55.7917885708607
93,1078,3.34459498448989,0.886541463733332,2.85686736520903,9.55506426103097,2.85686736520903,3.53736813908427,11.4015896182645,7.34933434283319,0.0523282718295451,1.01081934280846,0.866583289248541,0.685687026157766,1.2854060846743,60,80.7328511138525,80.7328511138525,40.3484510777252
94,1641,3.35056960275269,0.68944227913127,2.36855087107485,7.9359945511968,2.36855087107485,3.11747973850039,5.9214680415465,7.24439949844438,0.0630040755162309,1.25032876041452,0.250636600951298,0.924714921195144,0.85579340611819,150,141.275697681943,141.275697681943,103.617531818562
